Type,Book,FirstO,Appears,CA,Alphabetical Name,Full Name,First,Last,Common Name,Primary Name,Gender,Species,Time,Affiliation,Ajah,Dark?,Strength,Nationality,Birth Year,Description
Primary,Main,TSR,Yes,1,Colline,Colline,Colline,,Colline,N/A,F,Human,Historic,Jenn Aiel,N/A,Unassigned,N/A,Jenn Aiel,Unknown,A young Jenn Aiel from the period right after the Breaking. Her liberators from bandits were ostracized.
Primary,Main,TSR,No,0,Colly Garren,Colly Garren,Colly,Garren,Colly,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,A young Two Rivers man who joined Perrin to fight the Trollocs. Colly was killed in a Trolloc ambush.
Primary,Main,KoD,Yes,1,Com,Com,Com,,Com,N/A,M,Human,Current,Urchin,N/A,Unassigned,N/A,Tear,Unknown,"A young urchin in Tear who, along with his friend Doni, talked to Rand about the steamwagon."
Primary,Main,TSR,No,0,"Comaelle, High Queen",High Queen Comaelle,Comaelle,,Comaelle,N/A,F,Human,Historic,Queen,N/A,Unassigned,N/A,Jaramide,Unknown,"The High Queen of Jaramide, one of the Ten Nations during the period following the Breaking."
Primary,Main,TDR,Yes,2,"Comar, Lord",Lord Comar,Comar,,Comar,N/A,M,Human,Current,Andoran Noble,N/A,Yes,N/A,Andor,Unknown,"An Andoran nobleman and Darkfriend. He was tall, with wide shoulders, a deep chest, and dark blue eyes."
Primary,World,World,No,0,Comarra Zepava,Comarra Zepava,Comarra,Zepava,Comarra,N/A,F,Human,Historic,Aes Sedai,Blue,No,Unknown,Unknown,Unknown,An Aes Sedai of the Blue Ajah who served as Amyrlin from 244 to 276 NE.
Primary,Main,TSR,No,0,Comran,Comran,Comran,,Comran,N/A,M,Human,Historic,Jenn Aiel,N/A,Unassigned,N/A,Jenn Aiel,Unknown,A Jenn Aiel ancestor of Rand who lived during the period of the Breaking.
Primary,Main,TEotW,Yes,1,Con Aybara,Con Aybara,Con,Aybara,Con,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,"Perrin’s father, who was killed by Padan Fain when he laughed in Fain’s face for naming Perrin a Darkfriend."
Primary,Main,CoT,Yes,6,Conail Northan,Conail Northan,Conail,Northan,Conail,N/A,M,Human,Current,Andoran Noble,N/A,Unassigned,N/A,Andor,Unknown,"High Seat of House Northan in Andor. He was about six feet tall, and lean."
Primary,Main,ToM,Yes,2,Connel,Connel,Connel,,Connel,N/A,M,Human,Current,Guard,N/A,Unassigned,N/A,Saldaea,Unknown,A member of Ituralde’s personal guard in Saldaea.
Primary,Main,KoD,Yes,1,Connl,Connl,Connl,,Connl,N/A,M,Human,Current,Band of the Red Hand,N/A,Unassigned,N/A,Unknown,Unknown,One of the Band of the Red Hand under Mandevwin’s command. He participated in the attack on the Seanchan.
Primary,Main,TDR,Yes,1,Coram,Coram,Coram,,Coram,N/A,M,Human,Current,Aiel Warrior,N/A,Unassigned,N/A,Aiel,Unknown,"Hulking and wide-shouldered, he helped rescue Nynaeve, Elayne and Egwene from brigands."
Title,Main,TEotW,N/A,N/A,"Coramoor, The",The Coramoor,Coramoor,,Coramoor,Rand al'Thor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The Sea Folk name for the Chosen One (Rand), whom they had sought as a herald of a new Age."
Primary,Main,ACoS,Yes,2,Corana,Corana,Corana,,Corana,N/A,F,Human,Current,Maiden of the Spear,N/A,Unassigned,N/A,Aiel,Unknown,An Aiel Maiden of the Spear who accompanied Rand to Caemlyn when he took Fedwin Morr there.
Primary,Main,TGS,Yes,1,Corbet,Corbet,Corbet,,Corbet,N/A,M,Human,Current,Youngling,N/A,Unassigned,N/A,Unknown,Unknown,A Youngling. He was one of the youngest among them and was always looking to prove himself.
Primary,Main,TGS,Yes,1,"Cords, Sergeant",Sergeant Cords,Sergeant,Cords,Sergeant Cords,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Unknown,Unknown,"A watch sergeant with Bryne’s army. He was overweight, with red stubble on his chin."
Primary,Main,ACoS,No,0,Corehuin,Corehuin,Corehuin,,Corehuin,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Aiel,Unknown,"One of two Aiel wives of Mandelain, the Daryne clan chief. Her sister-wife was Jair."
Primary,Main,ACoS,Yes,14,Corele Hovian,Corele Hovian,Corele,Hovian,Corele,N/A,F,Human,Current,Aes Sedai,Yellow,No,18(6),Murandy,876 NE,A Murandian Aes Sedai of the Yellow Ajah who was uncommitted to any contingent.
Primary,Main,LoC,Yes,1,Corelna,Corelna,Corelna,,Corelna,N/A,F,Human,Current,Wise One,N/A,Unassigned,N/A,Aiel,Unknown,An Aiel Wise One who could not channel. She was a green-eyed woman with gray heavy in her flaxen hair.
Primary,Main,ACoS,Yes,2,Corevin,Corevin,Corevin,,Corevin,N/A,M,Human,Current,Band of the Red Hand,N/A,Unassigned,N/A,Cairhien,Unknown,A Cairhienin Redarm in the Band of the Red Hand. He was thickly muscled with a big nose and small eyes.
Primary,Main,TPoD,Yes,2,Corgaide Marendevin,Corgaide Marendevin,Corgaide,Marendevin,Corgaide,N/A,F,Human,Current,Servant,N/A,Unassigned,N/A,Cairhien,Unknown,"The head of the servants, known as the Holder of the Keys, at the Sun Palace in Cairhien."
Primary,Main,TDR,No,0,Corianin Nedeal,Corianin Nedeal,Corianin,Nedeal,Corianin,N/A,F,Human,Historic,Aes Sedai,Unknown,No,Unknown,Unknown,Unknown,An Aes Sedai from almost five hundred years before the Last Battle. She was a Dreamer.
Primary,Main,KoD,Yes,1,Coride,Coride,Coride,,Coride,N/A,F,Human,Current,Novice,N/A,Unassigned,Unknown,Unknown,Unknown,A pale-haired novice in the White Tower who looked up to Egwene after Egwene had been captured.
Primary,Main,TEotW,Yes,1,Corin Ayellin,Corin Ayellin,Corin,Ayellin,Corin,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,"A slim Two Rivers woman with a thick gray braid. Assumedly the same as ""Mistress Ayellin"" in TEotW."
Alias,Main,ACoS,N/A,N/A,Corlan Dashiva,Corlan Dashiva,Corlan,Dashiva,Dashiva,Aginor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The Forsaken Aginor/Osan’gar’s Asha’man persona. He was supposedly from an isolated farming village.
Primary,Main,KoD,No,0,Cormalinde Masoon,Cormalinde Masoon,Cormalinde,Masoon,Cormalinde,N/A,U,Human,AoL,Sculptor,N/A,Unassigned,N/A,Unknown,Unknown,A famous sculptor from the Age of Legends.
Primary,Main,TFoH,Yes,2,Corman,Corman,Corman,,Corman,N/A,M,Human,Current,Aiel Warrior,N/A,Unassigned,N/A,Aiel,Unknown,"An Aiel of the Mosaada Goshien clan, and a member of Far Aldazar Din (Brothers of the Eagle) warrior society."
Primary,NS,NS,No,0,Cormanes,Cormanes,Cormanes,,Cormanes,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Cairhien,Unknown,A pretty young man Moiraine kissed the night before she left for the Tower.
Primary,Main,KoD,Yes,1,Corvila,Corvila,Corvila,,Corvila,N/A,F,Human,Current,Weaver,N/A,Unassigned,N/A,Altara,Unknown,A lean Altaran weaver who was gai’shain to the Shaido at Malden. She swore fealty to Faile.
Primary,Main,LoC,Yes,3,Cosain,Cosain,Cosain,,Cosain,N/A,F,Human,Current,Wise One,N/A,Unassigned,14(2),Aiel,Unknown,"A lean, yellow-haired Wise One of the Spine Ridge sept of the Miagoma Aiel with the ability to channel."
Primary,Main,ToM,Yes,3,Coteren,Coteren,Coteren,,Coteren,N/A,M,Human,Current,Asha'man,N/A,Yes,Unknown,Unknown,Unknown,"A heavyset Asha’man with a blunt face, pudgy cheeks, and long, black, oily hair."
Primary,Main,TSR,Yes,6,Couladin,Couladin,Couladin,,Couladin,N/A,M,Human,Current,Aiel Warrior,N/A,Unassigned,N/A,Aiel,Unknown,An Aiel warrior of the Domai sept of the Shaido Aiel and the Seia Doon (Black Eyes) warrior society.
Primary,Main,TDR,No,0,Coulin,Coulin,Coulin,,Coulin,N/A,M,Human,Current,Master of Arms,N/A,Unassigned,N/A,Unknown,Unknown,He was Master of Arms of the Tower Guard under Hammar at the White Tower.
Primary,Main,TSR,Yes,1,Coumin,Coumin,Coumin,,Coumin,N/A,M,Human,AoL,Da'shain Aiel,N/A,Unassigned,N/A,Unknown,Unknown,A Da’shain Aiel ancestor of Rand.
Primary,Main,LoC,No,0,Coura,Coura,Coura,,Coura,N/A,F,Ogier,Historic,Uncertain,N/A,Unassigned,N/A,Unknown,Unknown,"The mother of Amar who was the mother of Elora, the last being an Ogier author from the time of Artur Hawkwing."
Primary,Main,AMoL,Yes,2,Courtani,Courtani,Courtani,,Courtani,N/A,F,Human,Current,Soldier,N/A,Unassigned,N/A,Seanchan,Unknown,A Banner-General in the Seanchan army; Mat found her unappealing.
Primary,Main,ACoS,Yes,2,Covarla Baldene,Covarla Baldene,Covarla,Baldene,Covarla,N/A,F,Human,Current,Aes Sedai,Red,No,21(9),Unknown,919 NE,An Aes Sedai of the Red Ajah and a loyalist. She had pale hair and a normally implacable face.
Primary,Main,LoC,Yes,5,Covril daughter of Ella daughter of Soong,Covril daughter of Ella daughter of Soong,Covril,,Covril,N/A,F,Ogier,Current,Uncertain,N/A,Unassigned,N/A,Stedding Shangtai,Unknown,"Loial’s mother, and a respected speaker. Her sister Voniel was Elder Haman’s wife."
Alias,Main,TEotW,N/A,N/A,Cowin Fairheart,Cowin Fairheart,Cowin,Fairheart,Cowin Fairheart,Cowin Gemallan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Another name for Cowin Gemallan.
Primary,Main,TEotW,No,0,Cowin Gemallan,Cowin Gemallan,Cowin,Gemallan,Cowin,N/A,M,Human,Historic,Malkieri Noble,N/A,Yes,N/A,Malkier,Unknown,A Malkieri nobleman also known as Cowin Fairheart. He was a darkfriend and wanted to seize power.
Primary,Main,TFoH,Yes,6,Cowinde,Cowinde,Cowinde,,Cowinde,N/A,F,Human,Current,Maiden of the Spear,N/A,Unassigned,N/A,Aiel,Unknown,A blue-eyed Maiden of the Spear who was taken gai’shain.
Primary,Main,CoT,No,0,"Cowlin, Lord",Lord Cowlin,Lord,Cowlin,Lord Cowlin,N/A,M,Human,Current,Altaran Noble,N/A,Unassigned,N/A,Altara,Unknown,"The Lord of So Habor, Altara. He fled the village before Perrin’s party arrived."
Primary,NS,NS,Yes,1,Coy,Coy,Coy,,Coy,N/A,M,Human,Current,Bandit,N/A,Unassigned,N/A,Unknown,Unknown,"A bandit leader in Kandor. He had grizzled, greasy hair, a narrow, unshaven face and a gap-toothed grin."
Primary,Main,TEotW,No,0,"Creator, The",The Creator,Creator,,Creator,N/A,U,God,Current,God,N/A,Unassigned,N/A,Unknown,Unknown,The being who made the world and put in place the Wheel of Time.
Primary,Main,ToM,No,0,"Creedin, Captain",Captain Creedin,Captain,Creedin,Captain Creedin,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Unknown,Unknown,A captain in Ituralde’s army involved in defensive actions at Maradon.
Alias,Main,ToM,N/A,N/A,"Crimson, Master",Master Crimson,Master,Crimson,Master Crimson,Matrim Cauthon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An alias used by Mat while seeking information in taverns in Caemlyn.
Primary,World,World,No,0,"Cristol, First Lord",First Lord Cristol,Cristol,,Cristol,N/A,M,Human,Historic,King,N/A,Unassigned,N/A,Essenia,Unknown,"A ruler of Essenia, one of the Ten Nations, and one of the signers of the Compact of the Ten Nations."
Primary,Main,TFoH,Yes,4,Croi Makin,Croi Makin,Croi,Makin,Croi,N/A,M,Human,Current,Warder,N/A,Unassigned,N/A,Andor,Unknown,"One of Myrelle Berengari’s Warders, an Andoran. He had yellow hair, and a fine profile."
Primary,Main,TGH,Yes,5,Cuale,Cuale,Cuale,,Cuale,N/A,M,Human,Current,Innkeeper,N/A,Unassigned,N/A,Cairhien,Unknown,The innkeeper at The Defender of the Dragonwall in Cairhien. He was plump and unctuous.
Primary,Main,ToM,No,0,Cuellar,Cuellar,Cuellar,,Cuellar,N/A,M,Human,Current,Knife Sharpener,N/A,Unassigned,N/A,Unknown,Unknown,A man who sharpened knives at the Black Tower.
Primary,Main,CoT,No,0,Culain,Culain,Culain,,Culain,N/A,M,Human,Historic,General,N/A,Unassigned,N/A,Aldeshar,Unknown,An Aldeshar general defeated by Artur Hawkwing.
Primary,Main,LoC,Yes,1,"Culen, Lord",Lord Culen,Culen,,Culen,N/A,M,Human,Current,Murandian Noble,N/A,Unassigned,N/A,Murandy,Unknown,A Murandian nobleman who was a Hunter of the Horn. Culen spoke with a Mindean accent.
Primary,Main,LoC,Yes,2,Culhan Carand,Culhan Carand,Culhan,Carand,Culhan,N/A,M,Human,Current,Andoran Noble,N/A,Unassigned,N/A,Andor,Unknown,"An Andoran nobleman and husband of the High Seat, Lady Aemlyn. He was about 5'10"" tall, and square-faced."
Primary,Main,WH,Yes,2,Cumere Powys,Cumere Powys,Cumere,Powys,Cumere,N/A,F,Human,Current,Counsel,N/A,Unassigned,N/A,Far Madding,Unknown,"One of the Counsels of Far Madding. Pretty and serious, she stood 5'5½"" tall."
Primary,Main,ToM,Yes,1,Cutaris,Cutaris,Cutaris,,Cutaris,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Arad Doman,Unknown,"A member of Ituralde’s forces in Saldaea. He was a sturdy, long-limbed Domani who acted as a messenger."
Title,World,World,N/A,N/A,Cutter of the Shadow,Cutter of the Shadow,Cutter of the Shadow,,Cutter of the Shadow,Latra Posae,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"In the Old Tongue, Shadar Nor; it was the name given to Latra Posae."
Primary,Main,AMoL,Yes,1,Cynd,Cynd,Cynd,,Cynd,N/A,F,Human,Current,Soldier,N/A,Unassigned,N/A,Tear,Unknown,A slender Tairen woman who fought in the Last Battle.
Alias,Main,TPoD,N/A,N/A,Cyndane,Cyndane,Cyndane,,Cyndane,Lanfear,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The Old Tongue word for “Last Chance.” The reincarnation of Lanfear.
Primary,Main,WH,Yes,1,Cyprien Melchor,Cyprien Melchor,Cyprien,Melchor,Cyprien,N/A,F,Human,Current,Counsel,N/A,Unassigned,N/A,Far Madding,Unknown,One of the Counsels of Far Madding who met with Cadsuane’s party when they arrived. She had protruding teeth.
Primary,NS,NS,Yes,1,Cyril Wynn,Cyril Wynn,Cyril,Wynn,Cyril,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Murandy,Unknown,The son of Murandians Susa and Jac Wynn. He was one of the children Moiraine investigated.
Primary,Main,TSR,Yes,1,Dael al'Taron,Dael al'Taron,Dael,al'Taron,Dael,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,A young Two Rivers man who joined Perrin’s band battling Trollocs. He was killed in a Trolloc ambush.
Primary,Main,LoC,Yes,1,"Daelvin, Mistress",Mistress Daelvin,Mistress,Daelvin,Mistress Daelvin,N/A,F,Human,Current,Innkeeper,N/A,Unassigned,N/A,Cairhien,Unknown,"The innkeeper at The Golden Stag in Maerone, Cairhien. She was small and round, with gray hair."
Primary,Main,TFoH,Yes,9,Daerid Ondin,Daerid Ondin,Daerid,Ondin,Daerid,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Cairhien,Unknown,"A Cairhienin soldier who had fought Andorans and brigands, as well as in the civil war. He was pale and slender."
Primary,Main,LoC,Yes,1,Daerilla Raened,Daerilla Raened,Daerilla,Raened,Daerilla,N/A,F,Human,Current,Andoran Noble,N/A,Unassigned,N/A,Andor,Unknown,An Andoran noblewoman who was High Seat of House Raened. She was plump and giggly.
Primary,Main,TPoD,Yes,2,Dafid Norley,Dafid Norley,Dafid,Norley,Norley,N/A,M,Human,Current,Asha'man,N/A,Unassigned,Unknown,Cairhien,Unknown,"A Cairhienin Asha’man Dedicated. He was short and thick-waisted with an open, inviting smile."
Primary,Main,TEotW,No,0,Dag Coplin (1),Dag Coplin,Dag,Coplin,Dag,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,A Two Rivers boy whom Mat Cauthon tried to trick into believing that ghost dogs had been seen in Emond’s Field.
Primary,Main,TEotW,Yes,1,Dag Coplin (2),Dag Coplin,Dag,Coplin,Dag,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,"An elderly man in Emond’s Field, possibly the grandfather of Dag Coplin (1)."
Primary,WoTC,WoTC,No,0,"Daganred, Lord",Lord Daganred,Lord,Daganred,Lord Daganred,N/A,M,Human,Current,Cairhienin Noble,N/A,Unassigned,N/A,Cairhien,Unknown,"A Cairhienin nobleman. He was about 5'7"" tall, a quiet man with an air of sadness."
Primary,Main,TFoH,Yes,3,Dagdara Finchey,Dagdara Finchey,Dagdara,Finchey,Dagdara,N/A,F,Human,Current,Aes Sedai,Yellow,Yes,19(7),Andor,848 NE,An Andoran Aes Sedai of the Yellow Ajah publicly but of the Black Ajah in truth.
Primary,Main,LoC,Yes,1,Dagendra,Dagendra,Dagendra,,Dagendra,N/A,F,Human,Current,Maiden of the Spear,N/A,Unassigned,N/A,Aiel,Unknown,An Aiel Maiden of the Spear who had a blocky build.
Title,Main,TEotW,N/A,N/A,Dai Shan,Dai Shan,Dai Shan,,Dai Shan,Lan Mandragoran,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A Malkieri title meaning “Diademed Battle Lord” used for Lan.
Primary,Main,ACoS,Yes,10,Daigian Moseneillin,Daigian Moseneillin,Daigian,Moseneillin,Daigian,N/A,F,Human,Current,Aes Sedai,White,No,45(33),Cairhien,907 NE,"A Cairhienin Aes Sedai of the White Ajah, uncommitted to any contingent, with a strength level of 45(33)."
Primary,Main,TDR,Yes,2,Dailin (1),Dailin,Dailin,,Dailin,N/A,F,Human,Current,Maiden of the Spear,N/A,Unassigned,N/A,Aiel,Unknown,"A Maiden of the Spear of the Nine Valleys Taardad Aiel, and a second-sister of Aviendha."
Primary,Main,ACoS,Yes,1,Dailin (2),Dailin,Dailin,,Dailin,N/A,F,Human,Current,Wise One,N/A,Unassigned,17(5),Aiel,Unknown,A Wise One of the Shaido Aiel who had the ability to channel and a strength level of 17(5).
Primary,Main,TEotW,Yes,19,Dain Bornhald,Dain Bornhald,Dain,Bornhald,Bornhald,N/A,M,Human,Current,Whitecloak,N/A,Unassigned,N/A,Tarabon,Unknown,"A narrow-faced Taraboner Whitecloak officer who was Geofram's son. Mostly called ""Bornhald"", but also ""Dain""."
Primary,Main,KoD,Yes,1,Dairaine Saighan,Dairaine Saighan,Dairaine,Saighan,Dairaine,N/A,F,Human,Current,Cairhienin Noble,N/A,Unassigned,N/A,Cairhien,Unknown,A high-ranking Cairhienin noblewoman taken gai’shain by the Shaido. She was slender with black hair.
Primary,Main,TEotW,Yes,6,Daise Congar,Daise Congar,Daise,Congar,Daise,N/A,F,Human,Current,Uncertain,N/A,Unassigned,N/A,Andor,Unknown,"A woman of Emond’s Field. Twice as wide and a head taller than her husband, Wit."
Primary,Main,ACoS,Yes,8,Daishar,Daishar,Daishar,,Daishar,N/A,M,Horse,Current,Horse,N/A,Unassigned,N/A,Unknown,Unknown,An Old Tongue word for “glory” and the name of Egwene’s tall roan gelding.
Primary,Main,LoC,No,0,Dal,Dal,Dal,,Dal,N/A,M,Ogier,Historic,Uncertain,N/A,Unassigned,N/A,Unknown,Unknown,An Ogier who was the son of Morel and the father of Haman.
Primary,World,World,No,0,Dalaine Ndaye,Dalaine Ndaye,Dalaine,Ndaye,Dalaine,N/A,F,Human,Historic,Aes Sedai,Gray,No,Unknown,Unknown,Unknown,An Aes Sedai of the Gray Ajah who served as Amyrlin from 36 to 64 NE. Dalaine was a weak Amyrlin.
Primary,Main,TGH,No,0,Dalar,Dalar,Dalar,,Dalar,N/A,F,Ogier,Current,Uncertain,N/A,Unassigned,N/A,Unknown,Unknown,An Ogier woman who spent ten years Outside the stedding with the Sea Folk.
Primary,Main,KoD,Yes,1,Dalevien,Dalevien,Dalevien,,Dalevien,N/A,F,Human,Current,Aes Sedai,Brown,No,Unknown,Unknown,Unknown,An Aes Sedai of the Brown Ajah and the loyalist contingent. Stocky with gray streaking her short dark hair.
Primary,Main,WH,Yes,2,Dali,Dali,Dali,,Dali,N/A,F,Human,Current,Damane,N/A,Unassigned,Unknown,Unknown,Unknown,A damane belonging to Tuon who was part of Karede’s group that searched for Tuon when she was missing.
Primary,NS,NS,Yes,1,Dalresin Damodred,Dalresin Damodred,Dalresin,Damodred,Dalresin,N/A,M,Human,Historic,Cairhienin Noble,N/A,Unassigned,N/A,Cairhien,Unknown,"Moiraine’s father and Laman’s brother. He was 5'11"" tall, with a gentle face and hair that was more gray than not."
Primary,Main,TPoD,Yes,2,Dalthanes Annallin,Dalthanes Annallin,Dalthanes,Annallin,Dalthanes,N/A,M,Human,Current,Cairhienin Noble,N/A,Unassigned,N/A,Cairhien,Unknown,A Cairhienin nobleman who supported Colavaere. He was summoned to the Seanchan campaign by Rand.
Alias,Main,TFoH,N/A,N/A,Dalyn (1),Dalyn,Dalyn,,Dalyn,Logain Ablar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"An alias used by Logain. Another possible named for Doile (Bertome wasn't sure), a Cairhienen soldier."
Alias,Main,TPoD,N/A,N/A,Dalyn (2),Dalyn,Dalyn,,Dalyn,Doile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Another possible name for Doile; a Cairhienin armsman of Bertome Saighan.
Primary,Main,TSR,No,0,Damelle,Damelle,Damelle,,Damelle,N/A,F,Ogier,Historic,Author,N/A,Unassigned,N/A,Unknown,Unknown,An Ogier author who was daughter of Ala daughter of Soferra. Damelle wrote about the Ways.
Primary,Main,LoC,Yes,35,Damer Flinn,Damer Flinn,Damer,Flinn,Flinn,N/A,M,Human,Current,Asha'man,N/A,Unassigned,Unknown,Andor,942 NE,"An Andoran Asha’man. Born in 942 NE, he was about 5'10"" tall and of medium build, but very strong for his size."
Primary,Main,TSR,No,0,Danelle,Danelle,Danelle,,Danelle,N/A,F,Human,Current,Aes Sedai,Brown,No,17(5),Unknown,899 NE,"An Aes Sedai of the Brown Ajah. She was killed by Mesaana, who took on her identity."
Primary,Main,WH,Yes,1,Dani,Dani,Dani,,Dani,N/A,F,Human,Current,Damane,N/A,Unassigned,Unknown,Unknown,Unknown,"A damane belonging to Tuon. She had yellow hair and blue eyes, and was slightly plump."
Primary,NS,NS,Yes,1,Danil,Danil,Danil,,Danil,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Unknown,978 NE,An infant boy born in the Murandian camp outside Tar Valon near the end of the Aiel War.
Primary,Main,CoT,No,0,Danine Candraed,Danine Candraed,Danine,Candraed,Danine,N/A,F,Human,Current,Andoran Noble,N/A,Unassigned,N/A,Andor,Unknown,An Andoran woman who was High Seat of an important House. She was known to be indecisive.
Primary,Main,TEotW,Yes,25,Dannil Lewin,Dannil Lewin,Dannil,Lewin,Dannil,N/A,M,Human,Current,Soldier,N/A,Unassigned,N/A,Andor,Unknown,"A man of Two Rivers. He was Tell’s brother, Ban al’Seen’s cousin and Flann’s nephew."
Primary,Main,TEotW,Yes,5,Dapple,Dapple,Dapple,,Dapple,N/A,F,Wolf,Current,Wolf,N/A,Unassigned,N/A,Caralain Grass,Unknown,"A wolf who was the leader of a pack. She was close to black, with a lighter gray patch on her face."
Primary,Main,TEotW,Yes,1,Dar,Dar,Dar,,Dar,N/A,M,Human,Current,Gate Guard,N/A,Unassigned,N/A,Andor,Unknown,A gate guard in Baerlon who was involved in letting Moiraine and her party out of Baerlon at night.
Primary,Main,TSR,No,0,Dara,Dara,Dara,,Dara,N/A,F,Human,Current,Kitchen Worker,N/A,Unassigned,N/A,Tear,Unknown,A cook’s helper in the Stone of Tear whom Mat found just plump enough.
Alias,Main,AMoL,N/A,N/A,Darbinda,Darbinda,Darbinda,,Darbinda,Elmindreda Farshaw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A name given to Min by Tuon; it was Old Tongue for “girl of pictures.”
Primary,Main,LoC,Yes,1,Darea Candwin,Darea Candwin,Darea,Candwin,Darea,N/A,F,Human,Current,Novice,N/A,Unassigned,Unknown,Andor,Unknown,One of the girls from the Two Rivers with the spark who were being taken to Tar Valon by Verin and Alanna.
Primary,Main,LoC,No,0,Daria Gahand,Daria Gahand,Daria,Gahand,Daria,N/A,U,Human,Historic,Author,N/A,Unassigned,N/A,Unknown,Unknown,"The author of Essays on Reason, a book studied by Min."
Primary,Main,TFoH,Yes,1,Daricain Annallin,Daricain Annallin,Daricain,Annallin,Daricain,N/A,M,Human,Current,Cairhienin Noble,N/A,Unassigned,N/A,Cairhien,Unknown,"Nobleman of House Annallin, of Cairhien. He was pale and slender with a long nose, and a narrow face."
Primary,Main,ACoS,No,0,Darin,Darin,Darin,,Darin,N/A,M,Human,Current,Aiel Warrior,N/A,Unassigned,N/A,Aiel,Unknown,A man of the Moshaine sept of the Shaido Aiel and the Shae’en M’taal society. He was the son of Maeric.
Primary,Main,TEotW,No,0,"Darith, King",King Darith,Darith,,Darith,N/A,M,Human,Unknown,Story Character,N/A,Unassigned,N/A,Unknown,Unknown,A king in a story about a fallen House.
Title,Main,WH,N/A,N/A,Dark Lord,Dark Lord,Dark Lord,,Dark Lord,Dark One,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Another name for the Dark One.
Title,Main,TSR,N/A,N/A,Dark Lord of the Grave,Dark Lord of the Grave,Dark Lord of the Grave,,Dark Lord of the Grave,Dark One,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A historical Aiel name for the Dark One.
Primary,Main,TEotW,Yes,6,Dark One,Dark One,Dark One,,Dark One,N/A,M,God,Current,God,N/A,Unassigned,N/A,Unknown,Unknown,"The force of evil, imprisoned by his antithesis, the Creator, outside of time and creation."
Primary,Main,TEotW,Yes,5,Darl Coplin,Darl Coplin,Darl,Coplin,Darl,N/A,M,Human,Current,Farmer,N/A,Unassigned,N/A,Andor,Unknown,"An Emond’s Field farmer, and a troublemaker. His brother was Hari."
Primary,Main,TDR,Yes,10,Darlin Sisnera,Darlin Sisnera,Darlin,Sisnera,Darlin,N/A,M,Human,Current,Tairen Noble,N/A,Unassigned,N/A,Tear,Unknown,"A High Lord of Tear. He was about six feet tall, with short-cropped dark hair, blue eyes and an overlarge nose."
Primary,Main,WH,Yes,1,Darnella Shoran,Darnella Shoran,Darnella,Shoran,Darnella,N/A,F,Human,Current,Innkeeper,N/A,Unassigned,N/A,Altara,Unknown,The innkeeper at The Silver Swans of Heaven in Ebou Dar. She was skinny with gray hair.
Primary,Main,CoT,Yes,1,Dart,Dart,Dart,,Dart,N/A,M,Horse,Current,Horse,N/A,Unassigned,N/A,Unknown,Unknown,Rodel Ituralde’s white gelding.
Primary,Main,AMoL,Yes,1,Daruo,Daruo,Daruo,,Daruo,N/A,M,Human,Current,Deathwatch Guard,N/A,Unassigned,N/A,Seanchan,Unknown,A member of the Deathwatch Guards able to catch an arrow in flight with his bare hand.
Primary,Main,KoD,No,0,"Darvale, Mother",Mother Darvale,Mother,Darvale,Mother Darvale,N/A,F,Human,Current,Wisdom,N/A,Unassigned,N/A,Altara,Unknown,Wisdom of Runnien Crossing in Altara. She was lean and leathery with white hair.
Primary,Main,TSR,No,0,Darvan,Darvan,Darvan,,Darvan,N/A,M,Human,Current,Uncertain,N/A,Unassigned,N/A,Unknown,Unknown,One of the two men seeking Elmindreda’s hand in the story that Siuan and Min made up.
